Name,Level,Address,ZIPCode,Enroll,EnrollAsia,EnrollHisp,EnrollBlac,EnrollWhit,EnrollOthe,Latitude,Longitude
ALLDERDICE,High,2409 SHADY AVE,15217,1371,47,17,502,749,56,40.429882,-79.920383
ALLEGHENY TRAD,Primary,810 ARCH ST,15212,498,4,6,329,129,30,40.455161,-80.008598
ALLEGHENY TRAD,Primary,810 ARCH ST,15212,311,2,4,185,98,22,40.455161,-80.008598
ARLINGTON,Primary,2500 JONQUIL WAY,15210,482,0,1,273,163,45,40.415570,-79.972051
ARSENAL,Primary,215 39TH ST,15201,282,13,8,192,46,23,40.467361,-79.963414
ARSENAL,Primary,3900 BUTLER ST,15201,317,19,2,245,41,10,40.468186,-79.962750
BANKSVILLE,Primary,1001 CARNAHAN RD,15216,259,12,5,39,166,37,40.407192,-80.036296
BEECHWOOD,Primary,810 ROCKLAND AVE,15216,415,16,59,79,232,29,40.415662,-80.020814
BRASHEAR,High,590 CRANE AVE,15216,1214,35,23,446,676,34,40.417099,-80.020411
BROOKLINE,Primary,500 WOODBOURNE AVE,15226,595,6,8,54,494,33,40.394902,-80.024930
CAREER CONNECTIONS,High,4412 BUTLER ST,15201,276,1,2,186,83,4,40.471636,-79.959600
CARMALT ACADEMY OF SCI & TECH,Primary,1550 BREINING ST,15226,572,7,4,264,262,35,40.389016,-80.007611
CARRICK,High,125 PARKFIELD ST,15210,876,2,7,323,505,39,40.391230,-79.988516
CHARTIERS,Primary,3799 CHARTIERS AVE,15204,127,3,2,73,40,9,40.458038,-80.075489
CITY,High,717 LIBERTY AVE,15222,575,0,4,318,229,24,40.442624,-79.999306
COLFAX,Primary,2332 BEECHWOOD BLVD,15217,692,64,31,220,344,33,40.433310,-79.914525
CONCORD,Primary,2350 BROWNSVILLE RD,15210,326,2,1,49,244,30,40.387609,-79.984291
CONROY ED CTR,Other,1398 PAGE ST,15233,233,1,4,153,67,8,40.451567,-80.024929
DILWORTH TRADITIONAL ACADEMY,Primary,6200 STANTON AVE,15206,438,4,8,250,138,38,40.468795,-79.917838
ENVIRONMENTAL CHARTEROOL AT FRICK PARK,Primary,829 MILTON ST,15218,319,8,6,83,190,32,40.436046,-79.897163
FAISON HELEN S ARTS ACADEMY,Primary,7430 TIOGA ST,15208,797,0,0,780,3,14,40.452801,-79.893916
FORT PITT,Primary,5101 HILLCREST ST,15224,262,0,0,246,12,4,40.468772,-79.942004
FULTON ACADEMY OF SCIENCE,Primary,5799 HAMPTON ST,15206,363,2,2,313,26,20,40.474520,-79.921779
GRANDVIEW,Primary,845 MCLAIN ST,15210,296,0,0,210,60,26,40.424398,-79.993416
GREENFIELD,Primary,1 ALGER ST,15207,414,29,18,142,202,23,40.426168,-79.943396
