FID,BLOCKID10,HOUSING10,POP10,X,Y
0,420031903001010,11,21,"1,338,657.801490000000000","409,825.395991000000000"
1,420031803002010,9,24,"1,343,646.608289999900000","404,181.019015000030000"
2,420033204003024,14,27,"1,343,582.294659999900000","393,136.337875000030000"
3,420033204002005,53,124,"1,343,256.574450000000000","391,827.572587999980000"
4,420033204002013,22,45,"1,343,463.574610000000000","390,890.750141000030000"
5,420033207002007,41,88,"1,342,222.775350000000000","389,253.937028000010000"
6,420033102004004,66,126,"1,365,198.075750000100000","386,355.970470000000000"
7,420033102003003,10,23,"1,366,720.175890000100000","383,565.265755000000000"
8,420033102003023,3,11,"1,367,306.054680000100000","383,633.922281000010000"
9,420031911001034,0,0,"1,335,816.548089999900000","408,674.805386999970000"
10,420035616002002,0,0,"1,353,558.610320000000000","400,918.408933000000000"
11,420031005001001,22,55,"1,360,357.691140000000000","425,528.480947999980000"
12,420031018001009,30,57,"1,360,704.206820000000000","425,778.404838000020000"
13,420031014003004,28,58,"1,361,793.224729999900000","424,030.324300999990000"
14,420031016001000,22,73,"1,360,564.531849999900000","422,283.891023000000000"
15,420031018001001,16,28,"1,361,726.532750000000000","427,647.398466999990000"
16,420031014004010,19,39,"1,362,208.572680000000000","425,284.557039999990000"
17,420031113001002,55,67,"1,362,165.928450000000000","422,472.962317999980000"
18,420031102003015,26,75,"1,362,874.580069999900000","423,000.062098000020000"
19,420031102003016,41,50,"1,362,837.760280000000000","422,860.669610999990000"
20,420031102004004,34,61,"1,363,640.997810000100000","423,232.067243999980000"
21,420031102002009,31,61,"1,364,199.163389999900000","423,585.540928000000000"
22,420031102004002,15,32,"1,364,197.353129999900000","423,095.881832999990000"
23,420031102004006,19,45,"1,364,095.382449999900000","422,891.765667000030000"
24,420031102004013,43,64,"1,363,743.004540000100000","422,176.311616000020000"
25,420031102004001,9,18,"1,364,460.196640000000000","422,974.137843000000000"
26,420031017002016,15,38,"1,357,684.102510000100000","420,464.115314000000000"
27,420035626001037,0,0,"1,334,400.097989999900000","408,277.331702000000000"
28,420031017002015,15,28,"1,358,182.153819999900000","420,360.474571999980000"
29,420030809002008,85,113,"1,357,780.816189999900000","419,483.490693000030000"
30,420030809002010,134,192,"1,358,167.581410000100000","419,294.444254999980000"
31,420031017001013,4,7,"1,359,162.480140000100000","420,295.621745000010000"
32,420031016001003,64,140,"1,359,910.322919999900000","421,803.145934999980000"
33,420031016001016,5,11,"1,360,173.299390000100000","421,070.188335000010000"
34,420031017001021,20,58,"1,360,049.808759999900000","420,112.676174000020000"
35,420031911001029,9,20,"1,336,400.140040000000000","408,816.853733000000000"
36,420030709004004,18,42,"1,357,913.642310000000000","414,789.317862000030000"
37,420030709004005,0,0,"1,358,445.363380000000000","415,054.168958999970000"
38,420030703003010,109,195,"1,359,837.375380000100000","413,778.313551000030000"
39,420030703003002,32,60,"1,360,407.270120000000000","414,836.168507999970000"
40,420031113001013,15,17,"1,362,829.072970000100000","421,653.129604000020000"
41,420030807001002,39,73,"1,361,061.503270000000000","419,413.977407000030000"
42,420030807001010,69,111,"1,361,025.116380000000000","418,563.907683000030000"
43,420030807001001,19,34,"1,361,397.776490000100000","419,322.133384999990000"
44,420030807001000,7,6,"1,361,642.732730000000000","419,193.707413000000000"
45,420031115002001,139,168,"1,362,136.631379999900000","419,250.143683000000000"
46,420031115002004,35,41,"1,361,964.625599999900000","418,101.671129999970000"
47,420031113001000,0,0,"1,362,944.919199999900000","421,971.590581000030000"
48,420031113003002,65,86,"1,363,138.827550000000000","420,957.424080999980000"
